continent,code
North America,ABW
North America,AIA
North America,ANT
North America,ATG
North America,BHS
North America,BLZ
North America,BMu
North America,BRB
North America,CAN
North America,CRI
North America,CuB
North America,CYM
North America,DMA
North America,DOM
North America,GLP
North America,GRD
North America,GRL
North America,GTM
North America,HND
North America,HTI
North America,JAM
North America,KNA
North America,LCA
North America,MEX
North America,MSR
North America,MTQ
North America,NIC
North America,PAN
North America,PRI
North America,SLV
North America,SPM
North America,TCA
North America,TTO
North America,uSA
North America,VCT
North America,VGB
North America,VIR
Asia,AFG
Asia,ARE
Asia,ARM
Asia,AZE
Asia,BGD
Asia,BHR
Asia,BRN
Asia,BTN
Asia,CHN
Asia,CYP
Asia,GEO
Asia,HKG
Asia,IDN
Asia,IND
Asia,IRN
Asia,IRQ
Asia,ISR
Asia,JOR
Asia,JPN
Asia,KAZ
Asia,KGZ
Asia,KHM
Asia,KOR
Asia,KWT
Asia,LAO
Asia,LBN
Asia,LKA
Asia,MAC
Asia,MDV
Asia,MMR
Asia,MNG
Asia,MYS
Asia,NPL
Asia,OMN
Asia,PAK
Asia,PHL
Asia,PRK
Asia,PSE
Asia,QAT
Asia,SAu
Asia,SGP
Asia,SYR
Asia,THA
Asia,TJK
Asia,TKM
Asia,TMP
Asia,TuR
Asia,TWN
Asia,uZB
Asia,VNM
Asia,YEM
